Região;BCG (BCG);Febre Amarela (FA);Hepatite A (HA);Hepatite B (HB);Varicela;Poliomelite;Meningocócica Conjugada - C (MncC);Oral de Rotavírus Humano (VORH);Penta;Pneumocócica;Tetraviral (sarampo. rubéola. caxumba e varicela);Ano
Norte;94.95;69.15;73.83;71.30;0;77.06;74.10;79.20;71.30;86.50;54.19;2018 
Nordeste;100.35;34.58;80.15;89.52;0;90.04;90.44;92.13;89.50;97.30;10.23;2018
Sudeste;101.98;66.36;85.20;92.37;0;92.66;90.77;93.73;92.28;97.01;24.19;2018
Sul;94.15;65.74;86.49;89.58;0;89.91;88.65;92.64;89.58;93.13;66.53;2018
Centro-Oeste;102.19;83.02;84.43;87.49;0;88.59;89.47;90.73;87.45;94.85;67.39;2018
Norte;91.04;69.03;79.01;70.27;0;79.59;84.23;80.49;70.27;88.39;67.36;2019
Nordeste;85.39;32.95;82.33;71.36;0;82.73;86.32;84.04;71.34;88.53;6.37;2019
Sudeste;84.41;71.96;86.17;69.07;0;84.54;86.67;85.63;69.05;88.16;16.70;2019
Sul;88.08;76.56;91.38;74.70;0;89.04;93.40;90.55;74.70;92.77;84.53;2019
Centro-Oeste;93.76;77.90;85.94;71.07;0;85.40;88.89;86.74;71.06;90.08;77.47;2019
Norte;79.39;54.94;64.01;63.62;56.10;65.16;70.95;67.96;63.62;75.55;42.05;2020
Nordeste;72.00;35.05;69.95;69.02;68.38;71.97;74.91;73.50;69.02;78.45;3.24;2020
Sudeste;72.46;65.89;77.23;82.68;77.90;77.83;78.69;78.22;82.68;80.83;4.13;2020
Sul;86.90;70.94;86.04;87.54;82.54;86.22;88.89;87.26;87.54;90.50;57.98;2020
Centro-Oeste;79.67;68.89;79.48;79.88;73.42;80.12;83.36;81.39;79.88;86.20;53.34;2020
Norte;75.38;51.02;57.25;61.34;47.32;61.30;64.93;62.67;61.34;68.13;1.64;2021
Nordeste;67.69;43.27;60.96;67.71;61.85;66.72;67.32;66.87;67.71;70.33;4.88;2021
Sudeste;68.78;63.67;69.91;70.97;71.97;70.76;70.89;70.89;70.97;72.92;4.72;2021
Sul;76.91;69.44;76.50;80.32;72.74;79.51;81.01;80.81;80.32;83.39;13.45;2021
Centro-Oeste;76.56;66.83;70.16;73.75;64.97;73.59;75.47;74.97;73.75;78.38;5.62;2021
Norte;62.33;30.24;34.50;39.13;27.12;38.12;42.42;39.34;39.13;45.12;1.58;2022
Nordeste;58.15;27.51;36.68;42.69;37.70;41.61;43.23;40.52;42.69;45.43;4.60;2022
Sudeste;55.41;34.43;38.35;40.03;40.10;40.09;41.39;40.60;40.03;42.23;3.27;2022
Sul;54.27;35.84;42.81;45.07;39.87;44.21;47.03;45.35;45.07;48.85;1.92;2022
Centro-Oeste;58.46;38.59;43.05;45.97;39.30;45.44;48.87;46.34;45.97;51.37;7.93;2022
